Date,Article,Stocks,Result,Crude,Result,Remarks
1/6/2016,http://www.zerohedge.com/news/2016-01-06/warning-bears-gartman-calls-it-now-fully-fledged-bear-market,Bearish,Wrong,,,The call was right for a couple of weeks
1/13/2016,http://www.zerohedge.com/news/2016-01-13/gartman-now-says-crude-has-bottomed-hours-after-warning-eggregiously-lower-prices-an,,,Bearish,Wrong,Called for oil heading to $15/barrel
2/5/2016,http://www.zerohedge.com/news/2016-02-05/oil-bulls-beware-gartman-no-longer-manifestly-bearish-oil,,,Bullish,Right,
2/22/2016,http://www.zerohedge.com/news/2016-02-22/simple-reason-why-stocks-are-soaring-gartman-bit-net-shorter-says-market-very-very-b,Bearish,Wrong,,,
2/26/2016,http://www.zerohedge.com/news/2016-02-26/rally-jeopardy-gartman-covers-his-shorts-goes-long-oil,Bullish,Right,Bullish,Right,
3/1/2016,http://www.zerohedge.com/news/2016-03-01/todays-rally-explained-gartman-again-selling-markets-short,Bearish,Wrong,,,
3/2/2016,http://www.zerohedge.com/news/2016-03-02/we-were-stunningly-shockingly-stupidly-wrong-gartman-admits-he-covers-shorts-puts-ra,Bullish,Right,,,
3/7/2016,http://www.zerohedge.com/news/2016-03-07/gartman-flip-flops-again-two-days-after-covering-shorts-now-reducing-longs,Bearish,Wrong,,,
3/16/2016,http://www.zerohedge.com/news/2016-03-16/vix-plunges-2016-lows-after-gartman-says-we-are-buyers-vix,Bearish,Wrong,,,By way of being long VIX
3/17/2016,http://www.zerohedge.com/news/2016-03-17/bad-news-bears-gartman-will-be-long-vix-until-sp-hits-2118,Bearish,Wrong,,,By way of being long VIX (reiterated)
3/18/2016,http://www.zerohedge.com/news/2016-03-18/gartman-has-less-2-live-oil-rises-above-42,,,Bearish,Wrong,"The famed ""not above $44 in my lifetime"""
3/31/2016,http://www.zerohedge.com/news/2016-03-31/gartman-throws-bearish-towel-dont-fight-fed,Bullish,Right,,,
4/1/2016,http://www.zerohedge.com/news/2016-04-01/24-hours-gartman-flips-dont-fight-fed-major-downside-turning-point-upon-us,Bearish,Wrong,,,
4/27/2016,http://www.zerohedge.com/news/2016-04-27/after-saying-oil-would-not-hit-44-during-his-lifetime-gartman-flip-flops-turns-bulli,,,Bullish,Right,
5/9/2016,http://www.zerohedge.com/news/2016-05-09/stocks-jump-oil-tumbles-gartman-says-it-time-buy-crude-oil-and-sell-equity-futures,Bearish,Wrong,Bullish,Right,
5/16/2016,http://www.zerohedge.com/news/2016-05-16/gartman-turning-bearish-equities-claims-he-outperforming-most-hedge-funds,Bearish,Wrong,,,
5/17/2016,http://www.zerohedge.com/news/2016-05-17/gartman-we-were-fully-completely-and-totally-wrong-sees-bear-market-catholic-global-,Bearish,Wrong,,,"Bearish ""in Catholic terms"""
6/14/2016,http://www.zerohedge.com/news/2016-06-14/one-day-after-warning-world-war-iii-gartman-turns-marginally-net-long,Bullish,Wrong,,,This was shortly before BREXIT
6/22/2016,http://www.zerohedge.com/news/2016-06-22/gartman-flip-flops-again-trend-has-been-and-shall-be-upward,Bullish,Wrong,,,Immediately before BREXIT
6/29/2016,http://www.zerohedge.com/news/2016-06-29/gartman-selling-rally,Bearish,Wrong,,,Immediately after BREXIT
7/7/2016,http://www.zerohedge.com/news/2016-07-07/gartman-youd-have-hold-gun-my-head-be-buyer,Bearish,Wrong,,,"""You'd have to hold a gun to my head"""
7/11/2016,http://www.zerohedge.com/news/2016-07-11/gartman-capitulates-shorts-we-have-had-quite-enough-we-want-out-now,Bullish,Right,,,
7/13/2016,http://www.zerohedge.com/news/2016-07-13/oil-plummets-after-gartman-covers-crude-short-goes-long,,,Bullish,Wrong,
8/8/2016,http://www.zerohedge.com/news/2016-08-08/gartman-suffers-worst-day-year-flips-flops-again-we-have-no-choice-we-have-dance-tin,Bullish,Right,,,The market sank for the next 3 months
8/17/2016,http://www.zerohedge.com/news/2016-08-17/gartman-shorting-bonds-would-err-bearishly-oil,,,Bearish,Right,
10/3/2016,http://www.zerohedge.com/news/2016-10-03/after-warning-selling-cascade-friday-gartman-turns-bullish-just-futures-slump,Bullish,Wrong,,,
10/7/2016,http://www.zerohedge.com/news/2016-10-07/oil-slides-below-50-after-gartman-turns-bullish,,,Bullish,Wrong,
10/19/2016,http://www.zerohedge.com/news/2016-10-19/two-days-after-he-turned-bearish-equities-dennis-gartman-again-net-long,Bullish,Wrong,,,
11/9/2016,http://www.zerohedge.com/news/2016-11-09/gartman-says-sell-everything-bear-markets-are-now-fully-engaged,Bearish,Wrong,,,"Bear market is ""fully engaged"""
11/30/2016,http://www.zerohedge.com/news/2016-12-01/gartman-clearly-we-were-wrong-short-crude-day-opec-meeting,,,Bearish,Wrong,
12/13/2016,http://www.zerohedge.com/news/2016-12-13/gartman-flip-flops-says-buy-oil-after-predicting-oil-not-going-above-55-years,,,Bullish,Wrong,